Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1642106356,13/01/2022 20:39,4.6,16.8,1,0
1642106656,13/01/2022 20:44,4.6,16.7,1,0
1642106956,13/01/2022 20:49,4.5,16.8,1,0
1642107256,13/01/2022 20:54,4.5,16.6,1,0
1642107556,13/01/2022 20:59,4.5,16.5,1,0
1642107856,13/01/2022 21:04,4.5,16.4,1,1
1642108156,13/01/2022 21:09,4.4,16.3,1,1
1642108456,13/01/2022 21:14,4.4,16.9,0,0
1642108756,13/01/2022 21:19,4.3,17.4,0,0
1642109056,13/01/2022 21:24,4.3,17.2,0,0
1642109356,13/01/2022 21:29,4.2,17.3,0,0
1642109656,13/01/2022 21:34,4.2,17.2,0,0
1642109956,13/01/2022 21:39,4.1,17.2,0,0
1642110256,13/01/2022 21:44,4.1,17,0,0
1642110556,13/01/2022 21:49,4,17.3,0,0
1642110856,13/01/2022 21:54,4,17.6,0,0
1642111156,13/01/2022 21:59,3.9,17.8,0,0
1642111456,13/01/2022 22:04,3.9,17.9,0,0
1642111756,13/01/2022 22:09,3.8,17.7,0,0
1642112056,13/01/2022 22:14,3.8,17.5,0,0
1642112356,13/01/2022 22:19,3.7,17.2,0,0
1642112656,13/01/2022 22:24,3.7,17.6,0,0
1642112956,13/01/2022 22:29,3.6,17.2,0,0
1642113256,13/01/2022 22:34,3.6,17.9,0,0
1642113556,13/01/2022 22:39,3.5,18,0,0
1642113856,13/01/2022 22:44,3.5,17.1,0,0
1642114156,13/01/2022 22:49,3.4,17.7,0,0
1642114456,13/01/2022 22:54,3.4,17.1,0,0
1642114756,13/01/2022 22:59,3.3,16.9,0,0
1642115056,13/01/2022 23:04,3.3,16.6,0,0
1642115356,13/01/2022 23:09,3.3,16.3,0,0
1642115656,13/01/2022 23:14,3.2,16.9,0,0
1642115956,13/01/2022 23:19,3.2,16.1,0,0
1642116256,13/01/2022 23:24,3.1,16.4,0,0
1642116556,13/01/2022 23:29,3.1,16.9,0,0
1642116856,13/01/2022 23:34,3.1,16.6,0,0
1642117156,13/01/2022 23:39,3,16.8,0,0
1642117456,13/01/2022 23:44,3,16.4,0,0
1642117756,13/01/2022 23:49,2.9,16.9,0,0
1642118056,13/01/2022 23:54,2.9,16.6,0,0
1642118356,13/01/2022 23:59,2.9,16.6,0,0
1642118656,14/01/2022 00:04,2.9,16.4,0,0
1642118956,14/01/2022 00:09,2.9,16.5,0,0
1642119256,14/01/2022 00:14,2.9,16.1,0,0
1642119556,14/01/2022 00:19,2.9,16.2,0,0
1642119856,14/01/2022 00:24,2.9,16.4,0,0
1642120156,14/01/2022 00:29,2.9,16.6,0,0
1642120456,14/01/2022 00:34,2.9,16.7,0,0
1642120756,14/01/2022 00:39,3,16.4,0,0
1642121056,14/01/2022 00:44,3,16.7,0,0
1642121356,14/01/2022 00:49,3,16.8,0,0
